model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,1,931,2793,4096,0.8,0.8,4370,722,0.006384,8013.725041993894,1,1,1,1,1,0,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,2,0,3724,4096,1.0,1.0,4247,414,0.0050536,3861.6446660016663,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,1,3351,373,4096,0.8,0.8,4693,520,0.0058344,6262.717791993055,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,6,1862,1862,4096,0.8,0.8,4497,596,0.0059816,6845.614165998995,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,5,931,2793,4096,0.9,0.9,4370,574,0.005792,6147.372457999154,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,5,3351,373,4096,0.8,0.8,4693,534,0.0058904,6291.63916700054,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,2,931,2793,4096,0.9,0.9,4370,508,0.005528,6361.362499999814,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,3,0,3724,4096,0.9,0.9,4247,415,0.005057600000000001,4143.7065829959465,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,1,1862,1862,4096,0.3,0.3,4497,578,0.0059096,6676.161542010959,0,0,1,0,0,0,0,1,0,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,4,2793,931,4096,0.0,0.0,4607,522,0.0057736,6266.160250001121,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,6,931,2793,4096,0.9,0.9,4370,464,0.005352,5776.435499996296,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,5,2793,931,4096,0.9,0.9,4607,483,0.0056176,5277.706624998245,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,6,2793,931,4096,0.0,0.0,4607,599,0.0060816,6719.522999992478,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,7,2793,931,4096,0.0,0.0,4607,348,0.005077600000000001,4806.001832999755,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,8,2793,931,4096,0.0,0.0,4607,463,0.0055376,5621.5733340068255,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,2,3351,373,4096,0.0,0.0,4693,679,0.006470399999999999,8384.869583998807,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,5,0,3724,4096,0.9,0.9,4247,377,0.0049056,3485.6723330012755,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,2,1862,1862,4096,0.0,0.0,4497,543,0.005769600000000001,6288.2765410031425,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,3,1862,1862,4096,0.0,0.0,4497,619,0.0060736,8696.002666998538,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,4,0,3724,4096,0.8,0.8,4247,411,0.0050416,3812.789582996629,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,4,2793,931,4096,0.8,0.8,4607,578,0.0059976000000000005,7700.818292010808,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,6,3351,373,4096,0.0,0.0,4693,554,0.0059704,7818.200166992028,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,3,931,2793,4096,0.0,0.0,4370,430,0.005216,6508.311165991472,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,7,931,2793,4096,1.0,1.0,4370,472,0.005384,5626.232416994753,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,5,0,3724,4096,0.9,0.9,4247,385,0.0049376,3815.706500012311,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,8,931,2793,4096,0.9,0.9,4370,505,0.005516,6242.836042001727,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,7,1862,1862,4096,0.9,0.9,4497,579,0.005913600000000001,9249.51929099916,1,1,1,1,1,0,1,1,1,1
