model,provider,target_ratio,order,trial_index,task_tokens,coordination_tokens,prompt_tokens_estimated,input_tokens_used,output_tokens_used,score,cost_usd,elapsed_ms,pg_limit,redis_pubsub_rate,redis_streams_latency,redis_pubsub_latency,recommended_encryption,prosemirror_role,backend_rampup,infra_migration
gpt-4.1-mini,openai,0.95,coord_first,1,698,13262,13965,13933,148,1.0,0.005810000000000001,1822.5240829924587,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,2,698,13262,13965,13933,156,1.0,0.005822800000000001,1914.5742079999764,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,3,698,13262,13965,13933,148,1.0,0.005810000000000001,2081.5484170161653,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,coord_first,4,698,13262,13965,13933,149,1.0,0.0058116,2634.762708010385,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,reason_first,0,698,13262,13965,13932,157,1.0,0.005824,2146.1917499837,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,reason_first,1,698,13262,13965,13932,151,1.0,0.005814400000000001,2044.4361250265501,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,reason_first,2,698,13262,13965,13932,134,1.0,0.0057872,1982.916209002724,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,reason_first,3,698,13262,13965,13932,168,1.0,0.005841600000000001,2169.5447499805596,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.95,reason_first,4,698,13262,13965,13932,175,1.0,0.0058528,2746.090833010385,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,698,0,702,862,187,1.0,0.0014375999999999998,1882.2347499954049,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,1,698,0,702,862,187,1.0,0.0014375999999999998,6743.30887501128,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,2,698,0,702,862,187,1.0,0.0014375999999999998,1995.994333003182,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,3,698,0,702,862,187,1.0,0.0014375999999999998,2216.1959590157494,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,4,698,0,702,862,187,1.0,0.0014375999999999998,2338.629999983823,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,698,0,702,862,187,1.0,0.0014375999999999998,1658.3388749859296,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,698,0,702,862,187,1.0,0.0014375999999999998,1645.104666997213,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,2,698,0,702,862,187,1.0,0.0014375999999999998,1775.8117500052322,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,3,698,0,702,862,187,1.0,0.0014375999999999998,1890.4588339792099,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,4,698,0,702,862,187,1.0,0.0014375999999999998,1654.9574579985347,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,0,698,698,1401,1647,230,1.0,0.0022376,2147.328249993734,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,1,698,698,1401,1647,230,1.0,0.0022376,7552.287958009401,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,2,698,698,1401,1647,230,1.0,0.0022376,2895.0073750165757,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,3,698,698,1401,1647,230,1.0,0.0022376,2057.599082996603,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,4,698,698,1401,1647,230,1.0,0.0022376,1985.2052920032293,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,0,698,698,1401,1647,175,1.0,0.0020176,2282.4960839934647,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,1,698,698,1401,1647,176,1.0,0.0020216,2396.9597090035677,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,2,698,698,1401,1647,175,1.0,0.0020176,6655.443166004261,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,3,698,698,1401,1647,176,1.0,0.0020216,2627.7345000125933,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,4,698,698,1401,1647,175,1.0,0.0020176,2860.4447079997044,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,0,698,2094,2797,3233,183,1.0,0.0033184,6173.259625007631,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,1,698,2094,2797,3233,216,1.0,0.0034504,3390.9231659781653,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,2,698,2094,2797,3233,169,1.0,0.0032624,1584.1989170003217,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,3,698,2094,2797,3233,187,1.0,0.0033344,1663.255375024164,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,4,698,2094,2797,3233,187,1.0,0.0033344,1437.7312090073247,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,0,698,2094,2797,3233,193,1.0,0.0033584,2527.308417018503,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,1,698,2094,2797,3233,193,1.0,0.0033584,2706.121333001647,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,2,698,2094,2797,3233,193,1.0,0.0033584,3701.709665998351,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,3,698,2094,2797,3233,193,1.0,0.0033584,2882.185708003817,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,4,698,2094,2797,3233,193,1.0,0.0033584,3605.122167005902,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,0,698,6282,6985,7973,176,1.0,0.007082400000000001,1730.2537919895258,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,1,698,6282,6985,7973,258,1.0,0.0074104,3233.404208003776,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,2,698,6282,6985,7973,258,1.0,0.0074104,3028.944416990271,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,3,698,6282,6985,7973,258,1.0,0.0074104,3186.4231250074226,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,4,698,6282,6985,7973,258,1.0,0.0074104,2941.2409999931697,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,0,698,6282,6985,7973,176,1.0,0.007082400000000001,2553.2574579992797,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,1,698,6282,6985,7973,176,1.0,0.007082400000000001,2935.1285829907283,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,2,698,6282,6985,7973,176,1.0,0.007082400000000001,2666.1050000111572,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,3,698,6282,6985,7973,176,1.0,0.007082400000000001,2564.1067079850473,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,4,698,6282,6985,7973,176,1.0,0.007082400000000001,2840.8412909775507,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,coord_first,0,698,13262,13965,15881,168,1.0,0.013376800000000001,2537.6477079989854,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,coord_first,1,698,13262,13965,15881,168,1.0,0.013376800000000001,1838.7989170150831,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,coord_first,2,698,13262,13965,15881,175,1.0,0.013404800000000001,1602.0047080237418,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,coord_first,3,698,13262,13965,15881,175,1.0,0.013404800000000001,1944.9750420171767,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,coord_first,4,698,13262,13965,15881,175,1.0,0.013404800000000001,1576.1813749850262,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,reason_first,0,698,13262,13965,15881,176,1.0,0.0134088,9805.79424998723,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,reason_first,1,698,13262,13965,15881,176,1.0,0.0134088,2549.971833010204,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,reason_first,2,698,13262,13965,15881,176,1.0,0.0134088,2854.1006250015926,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,reason_first,3,698,13262,13965,15881,176,1.0,0.0134088,2765.2224579942413,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.95,reason_first,4,698,13262,13965,15881,176,1.0,0.0134088,4949.061332998099,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,0,698,0,702,785,137,1.0,0.000578,4534.684750018641,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,1,698,0,702,785,137,1.0,0.000578,2834.4635000103153,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,2,698,0,702,785,166,1.0,0.0006505,2670.5265830096323,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,3,698,0,702,785,166,1.0,0.0006505,2655.8586249884684,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,4,698,0,702,785,137,1.0,0.000578,2564.298917015549,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,0,698,0,702,785,166,1.0,0.0006505,2730.137459002435,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,1,698,0,702,785,166,1.0,0.0006505,2822.6302079856396,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,2,698,0,702,785,137,1.0,0.000578,2802.8682500007562,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,3,698,0,702,785,166,1.0,0.0006505,4114.976334007224,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,4,698,0,702,785,137,1.0,0.000578,2784.901709004771,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,0,698,698,1401,1522,164,1.0,0.0008665999999999999,2249.5867919933517,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,1,698,698,1401,1522,164,1.0,0.0008665999999999999,2236.448041978292,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,2,698,698,1401,1522,164,1.0,0.0008665999999999999,2090.467666013865,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,3,698,698,1401,1522,164,1.0,0.0008665999999999999,2083.454209001502,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,4,698,698,1401,1522,149,1.0,0.0008290999999999999,2581.6132920153905,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,0,698,698,1401,1522,139,1.0,0.0008040999999999999,2263.723290991038,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,reason_first,1,698,698,1401,1522,152,1.0,0.0008366,3362.7618339960463,1,1,1,1,1,1,1,1
